plot,site,disturbance,canopy_cover,abundance
A_1,A,low,0.43,43
A_2,A,low,0.19,100
A_3,A,low,0.72,25
A_4,A,low,0.73,35
A_5,A,low,0.81,43
B_1,B,high,0,18
B_2,B,high,0.65,10
B_3,B,high,0.45,9
B_4,B,high,0.87,0
B_5,B,high,0.8,3
C_1,C,med,0.03,35
C_2,C,med,0.48,10
C_3,C,med,0.11,30
C_4,C,med,0.08,32
C_5,C,med,0.23,31
D_1,D,med,0.79,23
D_2,D,med,0.24,50
D_3,D,med,0.55,20
D_4,D,med,0.53,32
D_5,D,med,0.48,29
E_1,E,med,0.93,5
E_2,E,med,0.99,29
E_3,E,med,0.11,37
E_4,E,med,0.11,46
E_5,E,med,0.39,50
F_1,F,high,0.85,0
F_2,F,high,0.14,21
F_3,F,high,0.79,4
F_4,F,high,0.16,5
F_5,F,high,0.12,10
G_1,G,high,0.81,1
G_2,G,high,0.98,0
G_3,G,high,0.63,1
G_4,G,high,0.97,6
G_5,G,high,0.15,14
H_1,H,low,0.67,40
H_2,H,low,0.41,NA
H_3,H,low,0.84,60
H_4,H,low,0.5,53
H_5,H,low,0.96,22
